id,name,is_public
1,Центральное отопление,1
2,Благоустройство,1
3,Благоустройство,1
4,Содержание МКД,1
5,Санитарное состояние,0
6,Вентиляция,0
7,Водоснабжение,1
8,Кровля,1
9,Организационно-правовые вопросы,1
10,Содержание МКД,1
11,Санитарное состояние,1
12,Шум,1
13,Вентиляция,1
14,Водоотведение,0
15,Водоснабжение,1
16,Центральное отопление,1
17,Благоустройство,1
19,Благоустройство,1
20,Организационно-правовые вопросы,1
21,Фасад,1
22,Капитальный ремонт общего имущества в многоквартирных домах,1
23,Нарушение правил пользования общим имуществом,1
25,Аварийные дома,1
26,Состояние строительной площадки,1
27,Нарушение земельного законодательства,1
28,Благоустройство,1
29,Благоустройство,1
30,Нарушение земельного законодательства,0
31,"Нарушение в сфере реализации алкогольной продукции организациями, имеющими лицензии на осуществление розничной продажи алкогольной продукции",1
32,Загрязнение водного объекта или его берега,1
33,Квартира,1
34,Нарушение в сфере реализации табачной продукции и табачных изделий,1
35,Несанкционированная торговля ,1
36,Незаконное строительство,1
37,Нарушение порядка пользования общим имуществом,1
38,Несоответствие параметрам выданного разрешения на строительство,0
39,Техническое и санитарное состояние транспортных средств,1
40,Незаконная трудовая деятельность иностранных граждан,1
41,Ненадлежащее состояние остановочного павильона,1
43,Состояние объектов для размещения информации,0
44,Этнические анклавы,1
45, Состояние рекламных конструкций,0
47,"Обращение в органы власти и подведомственные им организации с заявлением и документами, получение результата услуги в виде бумажного документа",0
48,Нарушения в бюджетных учреждениях культуры,1
49,Нарушения в бюджетных учреждениях здравоохранения,1
50,Нарушения в бюджетных образовательных  учреждениях,1
51,Нарушения в бюджетных учреждениях социальной защиты населения,1
52,Нарушения в бюджетных учреждениях сферы занятости ,1
53,Повреждения или неисправность элементов уличной инфраструктуры,1
54,Повреждения или неисправность элементов уличной инфраструктуры,1
55,Благоустройство,1
56,Незаконная информационная и (или) рекламная конструкция,1
57,Заливка катка,1
58,"Незаконная реализация товаров с торгового оборудования (прилавок, ящик, с земли)",1
59,Благоустройство,1
60,Водоотведение,1
61,Повреждения или неисправность элементов уличной инфраструктуры,1
62,Подвалы,1
63,Водоотведение,1
64,Чердаки,1
65,Электроснабжение,1
66,Состояние рекламных или информационных конструкций,1
