id,name
1,MO Коломна
2,MO Сенной округ
3,MO Адмиралтейский округ
4,MO Семеновский
5,MO Измайловское
6,MO Екатерингофский
7,MO № 7
8,MO Васильевский
9,MO Гавань
10,MO округ Морской
11,MO Остров Декабристов
12,поселок Левашово
13,поселок Парголово
14,MO Сампсониевское
15,MO Светлановское
16,MO Сосновское
17,MO № 15
18,MO Парнас
19,MO Шувалово-Озерки
20,поселок Лисий Нос
21,МО Лахта-Ольгино
22,МО № 65
23,МО Черная речка
24,МО Комендантский аэродром
25,МО Озеро Долгое
26,МО Юнтолово
27,МО Коломяги
28,МО Гражданка
29,МО Академическое
30,МО Финляндский округ
31,МО № 21	40273564000
32,МО Пискаревка
33,МО Северный
34,МО Прометей
35,МО Княжево
36,Выборгский
37,МО Дачное
38,МО Автово
39,МО Нарвский округ
40,МО Красненькая речка
41,МО Морские ворота
42,город Колпино
43,поселок Металлострой
44,поселок Петро-Славянка
45,поселок Понтонный
46,поселок Саперный
47,поселок Усть-Ижора
48,МО Полюстрово
49,МО Большая Охта
50,МО Малая Охта
51,МО Пороховые
52,МО Ржевка
53,город Красное Село
54,МО Юго-Запад
55,МО Южно-Приморский
56,МО Сосновая поляна
57,МО Урицк
58,МО Константиновское
59,МО Горелово
60,город Кронштадт
61,город Зеленогорск
62,город Сестрорецк
63	поселок Белоостров
64,поселок Комарово
65,поселок Молодежное
66	поселок Песочный
67,поселок Репино
68,поселок Серово
69	поселок Смолячково
70,поселок Солнечное
71,поселок Ушково
72	город Ломоносов
73,МО Московская застава
74,МО Гагаринское
75,МО Новоизмайловское
76,МО Пулковский меридиан
77,МО Звездное
78,МО Невская застава
79,МО Ивановский
80,МО Обуховский
81,МО Рыбацкое
82,МО Народный
83,МО № 54
84,МО Невский округ
85,МО Оккервиль
86,МО Правобережный
87,город Павловск
88,поселок Тярлево
89,МО Введенский
90,МО Кронверкское
91,МО Посадский
92,МО Аптекарский остров
93,МО округ Петровский
94,МО Чкаловское
95,город Петергоф
96, поселок Стрельна
97,город Пушкин
98,поселок Александровска
99,поселок Шушары
100,MO Волковское
101,MO № 72
102,MO Купчино
103,MO Георгиевский
104,MO № 75
105,MO Балканский
106,MO Дворцовый округ
107,MO № 78
108,MO Литейный округ
109,MO Смольнинское
110,MO Лиговка-Ямская


