id,name,is_public
1,Нарушено благоустройство после работы бригад,0
2,Низкая температура на лестничной площадке,1
3,Нарушение благоустройства после производства земляных работ,1
4,Постоянное скопление безнадзорных животных,0
5,Мусор с контейнерной площадки своевременно не вывозится,0
6,Сломанный мусорный контейнер,1
7,Неудовлетворительное состояние территории двора,0
8,Неудовлетворительное состояние асфальтового покрытия на придомовой и дворовой территориях,1
9,Повреждения дорожного покрытия  проезжей части,1
10,Мусор на газонах вдоль проезжей части,1
11,"Скопление мусора в садах, парках, скверах",1
12,Мусор на газонах,1
13,Неухоженный вид деревьев и кустарников,0
14,Угроза падения дерева или его части,1
15,"Угроза падения дерева на проезжую часть, тротуар",1
16,Вентиляционные каналы забиты,0
17,Дымовые каналы забиты,0
18,Отсутствие тяги в дымовом канале,0
19,Засор канализации/протечка канализационной трубы,0
20,"Протечка труб в подвале, на чердаке, на лестничной площадке",1
21,"Дефект трубопровода, запорной арматуры в доме",0
22,Отсутствие горячей воды,1
23,Отсутствие холодной воды,1
24,Повреждение/засор внутреннего ливнестока,1
25,Повреждение водосточной трубы,1
26,Повреждение кровли,1
27,Протечка кровли,0
28,Отказ в составлении акта обследования или несоответствие акта действительности,1
29,"Начисление платы за коммунальные услуги по тарифам, отличающимся от установленных Комитетом по тарифам Санкт-Петербурга",1
30,Несогласие с выставленным счетом  (размер платы не соответствует договору управления),1
31,Жалоба по организационно-правовым вопросам (розовая квитанция),0
32,"При начислении коммунальных платежей применяются тарифы, отличающиеся от городских. В квитанции отсутствует обязательная информация (белая квитанция и др. формы оплаты)",0
33,В доме нет информации об управляющей компании,1
34,Отсутствие/неисправность крышки загрузочного люка мусоропровода,1
35,Отсутствие или несоблюдение графика уборки подъезда,1
36,Отсутствие или неисправность замка мусоросборной камеры,1
37,Хранение вещей на лестничной площадке,1
38,"Требуется дезинсекция (насекомые), дезинфекция в местах общего пользования (в т.ч. мусоропровода)",1
39,Требуется дератизация (крысы) в местах общего пользования,1
40,"Повреждение запорной арматуры (вентиль, кран)",0
41,"Повреждение радиатора, вентиля, протечка трубы на лестничной площадке",0
42,Отсутствие радиатора на лестничной площадке,1
43,Температура в помещении выше нормы,1
44,Шум от инженерных сетей и оборудования,1
45,Плохое качество горячей воды,1
46,Плохое качество холодной воды,1
47,Слабый напор горячей воды,1
48,Слабый напор холодной воды,1
49,Низкая температура в отапливаемом помещении,1
50,"Неубранный снег на пешеходных дорожках в парках, садах, бульварах и скверах",1
51,Неубранный снег,0
52,Неубранный снег,1
53,Наличие наледи на крыше,1
54,"Неубранный снег на автомобильных дорогах и прилегающих к ним тротуарах, спусках к воде, подземных и надземных пешеходных переходах",1
55,Неочищенные урны,1
56,"Конструкция, препятствующая парковке",1
57,Исполнители работ повредили и не восстановили объекты благоустройства,0
58,Надписи на фасаде здания,0
59,Несанкционированная надпись в парадных жилых домов,0
60,Несанкционированная надпись,0
61,Требуется регулировка системы водоснабжения/отопления,1
62,Отсутствие тяги в вентиляционном канале,0
63,Отказ в составлении акта обследования или несоответствие акта действительности,1
64,Мусор на детской площадке,1
