shop,name,lat,lon
computer,Кей,60.0489329,30.3799627
photo,Яркий мир,60.0430323,30.3852805
supermarket,Магнит,60.0469574,30.3877733
supermarket,Магнит,60.0432182,30.384391
supermarket,Народная 7Я семьЯ,60.0125342,30.4112416
clothes,Секонд-хенд и хоз товары,60.0126934,30.4116783
yes,Всё для дома,60.0125495,30.4121666
car_repair,,60.0072985,30.385804
bakery,Мини пекарня,60.047522,30.3274798
supermarket,Местный,59.8797161,30.4558673
beauty,Леди,60.0320623,30.4029727
paint,Арт-Квартал,59.9847212,30.3137445
alcohol,Норман,59.8737706,29.8596242
convenience,Фаэтон,59.6820773,30.2437469
shoes,Обувь,59.9126679,30.4758722
doityourself,Двери Окна,59.9104925,30.477828
alcohol,Норман,59.9244394,30.2876496
car_repair,oldest.ru,59.9552741,30.2538306
alcohol,Ливиз,59.9654994,30.2980609
alcohol,Ароматный мир,59.9645838,30.2977248
books,Гиппократ,59.9623733,30.3037622
convenience,Гирлянда,59.9600338,30.3024314
convenience,Продукты,59.9641183,30.3032407
clothes,Рот-Фронт,59.9633029,30.3048408
furniture,Феликс,59.962444,30.3054881
florist,Оранж,59.9663188,30.3113083
hairdresser,Фендуй,59.9664043,30.3011217
florist,Цветы,59.9652535,30.304554
hairdresser,Расчёска,59.9622396,30.3067294
bakery,Балтийский хлеб,59.9638616,30.3086431
computer,DNS,60.0515147,30.3353451
supermarket,SPAR,59.9627343,30.2943379
florist,,59.9591839,30.3054329
bakery,Ленинградские булочные,59.8523389,30.3072597
supermarket,Полушка,59.9654913,30.4363105
supermarket,Лайм,59.972024,30.4358508
florist,Цветочный домик,59.9363772,30.3417947
florist,4 Сезона,59.8660888,30.3202506
butcher,"""Великолукский мясокомбинат""",59.9437999,31.0343746
convenience,,59.9421044,31.041256
convenience,,59.942239,31.0409592
car_parts,"""Автодом""",59.9447742,31.0363177
car_parts,EuroAuto,59.9859113,30.3641101
car_parts,,59.9862344,30.3635293
car_repair,,59.8724239,30.9880486
car_repair,Шиномонтаж,59.9330711,31.0091026
car_repair,,59.8349989,30.4318676
books,,59.9522354,30.2979653
