ownP	compP	Sales
5.13567	5.2042	144.49
3.49546	8.0597	637.25
7.27534	11.676	620.79
4.66282	8.3644	549.01
3.58454	2.1503	20.43
5.16792	10.153	713.01
3.38409	4.9466	346.71
4.29306	7.7606	595.78
4.36909	7.4289	457.65
7.2266	10.7113	591.45
7.43643	12.4483	745.23
4.35665	4.3073	177.4
4.86475	11.0556	856.25
6.96966	9.745	449.19
5.48986	7.9044	481.93
5.46023	7.6302	443.34
8.45962	14.8897	911.86
5.23121	8.1032	507.66
3.49585	9.9692	847.43
8.80711	14.1371	812.64
5.45605	8.8422	572.46
4.325	6.471	379.81
5.23705	7.0961	354
4.61478	6.9579	445.97
4.8088	6.8521	399.89
3.8296	6.6789	466.11
4.91714	10.6093	759.89
5.96973	12.5892	880.07
3.36004	5.2346	290.19
4.50369	10.1673	805.51
4.70028	9.4272	666.96
5.42889	8.2601	494.04
4.82462	7.8154	535.65
4.77565	10.3393	765.17
1.67795	2.572	284.73
4.09735	2.6367	43.96
4.94351	7.1008	435.57
6.34616	8.0416	404.03
5.73615	8.7319	512.79
6.0395	9.4089	548.78
3.76536	3.3578	176.64
5.4907	7.2457	349.23
5.73368	6.4362	259.62
4.60315	6.4325	337.97
2.13686	0.7337	-43.68
6.09998	10.1357	596.66
5.5207	11.3468	751.41
2.51308	5.74	512.88
5.12549	8.0809	452.47
6.1765	11.4716	710.9
3.94825	5.3026	292.72
5.2788	6.8068	367.46
1.99072	5.1921	510.9
6.47039	10.4509	628.37
6.38963	10.4061	609.69
4.53539	5.7201	281.11
3.92085	9.6856	792.16
1.35945	3.1703	343.88
6.46952	10.7416	645.53
6.76722	11.0022	633.87
5.294	10.0941	693.54
4.864	9.7121	664.89
5.73444	11.9226	864.94
2.63174	6.1496	576.46
4.20874	10.2859	841.3
5.10869	9.7362	691.47
2.0161	5.0815	462.9
4.1162	4.7868	219.66
3.20347	5.9175	415.57
1.9652	4.0777	404.53
8.69792	13.6441	800.65
7.05065	9.9138	495.75
4.58623	9.7792	688.27
4.91741	6.3876	334.36
7.08949	13.4635	897
4.77727	4.6437	106.14
7.20496	13.5573	927.12
7.79692	12.0858	682.15
0.47244	0.9041	178.85
2.3962	9.3071	883.11
5.0874	10.4219	745.34
2.85361	7.6922	680.23
3.74802	6.2279	432.72
7.21676	11.9934	715.64
4.41862	7.8028	520.01
5.16239	6.4206	296.7
1.0391	-1.2589	-128.1
4.43248	2.8593	-20.34
2.4088	5.3087	477.39
7.10072	8.3304	324.61
1.10558	3.1707	287.36
3.47381	6.4331	445.56
4.23023	12.6986	1130.88
3.91041	7.035	482.82
2.5424	2.9536	179.57
6.06947	8.8234	516.93
4.22226	10.5961	875.2
7.50482	14.8819	1018.1
5.78936	7.7333	382.2
4.73001	6.4888	357.14
